# subsample, gamma, colsample_bytree, max_depth, min_child_weight, target
1.000000000000000000e+00,9.739578425790682004e-02,5.000000109524066483e-01,5.783719130360156946e+00,6.182151575885560746e+00,-1.104899000000000076e+00
5.374006362758373401e-01,0.000000000000000000e+00,5.153853839614219723e-01,7.969633206240048118e+00,1.848395207705908305e+01,-1.127030400000000210e+00
9.999999883135409773e-01,4.761666408487739588e+00,5.000000000000000000e-01,1.252403905842327703e+01,9.550045085931072819e+00,-1.108308799999999872e+00
1.000000000000000000e+00,5.607715131354413352e+00,6.668173498692683276e-01,7.752482279155992195e+00,1.459222933029955627e+01,-1.119853600000000116e+00
9.551068269829782187e-01,1.115996218474786694e+00,1.000000000000000000e+00,5.035092590585660943e+00,8.695627128579916487e+00,-1.103620400000000057e+00
9.999999304295645874e-01,6.512652494437072281e-01,8.223241346310053990e-01,1.069988272978774546e+01,1.313963944124797933e+01,-1.131005000000000038e+00
5.000000000000000000e-01,2.031845523046174939e+00,5.287972631824620073e-01,5.000000000000000000e+00,2.418223831169785676e+00,-1.107462200000000063e+00
9.999999953802934938e-01,3.313766567532214324e+00,5.489553876214890993e-01,6.905607640117501056e+00,2.267545200953717366e+00,-1.104905399999999815e+00
1.000000000000000000e+00,4.300472221298808767e-03,5.000001675362617526e-01,5.826699815645658198e+00,1.544226528827222289e+01,-1.108942600000000223e+00
1.000000000000000000e+00,4.943902853681855447e+00,1.000000000000000000e+00,8.129975512376953262e+00,1.000000373146167965e+00,-1.111872399999999983e+00
9.999999971876081251e-01,2.649491580451627470e+00,9.314208463247186653e-01,7.041772258106584914e+00,5.524611763206445758e+00,-1.101995599999999964e+00
9.999999596237976185e-01,3.381773248759342820e+00,9.999999690845473577e-01,5.452888621068777475e+00,6.197719935737628028e+00,-1.110584199999999910e+00
9.999999999929994887e-01,4.620588702974021800e+00,9.816104752021685975e-01,9.573030157438441989e+00,1.747490228612393892e+01,-1.111955800000000050e+00
9.999999999999553690e-01,4.033524843032706642e+00,1.000000000000000000e+00,7.945936122473288954e+00,1.107860599527133694e+01,-1.109461000000000030e+00
9.999999999999995559e-01,1.917189742812523079e+00,9.999999323283483843e-01,5.000000084121071886e+00,1.000000000000000000e+00,-1.102110000000000145e+00
7.349910092835022501e-01,3.649077740804489878e+00,9.758003153057229762e-01,5.152483639014538319e+00,2.000000000000000000e+01,-1.116119399999999873e+00
1.000000000000000000e+00,9.999999939843142727e+00,5.000000000000000000e-01,9.458636952723578517e+00,1.000000000000000000e+00,-1.132688599999999823e+00
1.000000000000000000e+00,4.916606891656356559e+00,5.000000000000000000e-01,1.500000000000000000e+01,9.691131585898563827e+00,-1.107571399999999873e+00
9.999999096746011729e-01,5.270709249964066423e+00,9.999995332894021649e-01,1.273755671721229632e+01,5.676333508231675928e+00,-1.110799599999999998e+00
