# colsample_bytree, num_rounds, min_child_weight, subsample, eta, max_depth, gamma, target
5.783053081286027020e-01,4.871120586178410008e+02,9.380931923784624260e+00,8.041253810636614929e-01,1.606215643743552079e-01,6.235252657088645734e+00,1.166051507914882546e+00,-9.859137999999999513e-01
5.530546059270151638e-01,2.894321579081089340e+02,2.797257990607604938e+00,6.752242340770271412e-01,3.496101507543746267e-01,4.308622458195918270e+00,4.743361189461468896e+00,-9.833418000000000436e-01
8.843250904417199187e-01,1.103276761881948858e+02,7.130905054088801265e+00,7.044780411897433314e-01,2.048298960566368732e-01,4.626772814989354998e+00,7.366500798901076674e-01,-1.029351600000000033e+00
7.842079865870454913e-01,4.106113692215246829e+02,6.385909639658219561e+00,5.529729035428976314e-01,2.813824692213522383e-01,3.853788330633075798e+00,2.912445234455209864e+00,-9.834867999999999943e-01
6.478649550393176249e-01,3.924157702916849644e+02,5.526500615265055316e+00,8.722420402990607169e-01,4.437376019350114942e-01,6.389808527533638483e+00,2.254622577722812160e+00,-9.738890000000000047e-01
9.891950907376432234e-01,3.360738013799216901e+02,9.490198607788054019e+00,6.636073655644507685e-01,1.233639987416751960e-01,4.705886187673561594e+00,2.640605414013331043e+00,-9.783661999999999637e-01
7.098058371404266653e-01,3.331456181947197024e+02,2.062119770672838914e+00,5.906297778602482840e-01,2.697333427643521797e-01,9.112909679091847792e+00,1.594150235606350385e+00,-1.014531599999999978e+00
9.999999341477437964e-01,1.963800870552209119e+02,1.000000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,3.000000000000000000e+00,3.670320049509397720e+00,-1.010960799999999882e+00
1.000000000000000000e+00,2.769818767355617410e+02,1.000000000000000000e+01,7.522336977558788940e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.799980141336737116e+00,-9.886827999999999728e-01
9.999999999999871214e-01,4.997003225185312658e+02,3.334526791672704160e+00,9.642357732499721168e-01,4.999999999999978351e-01,4.983656924566245650e+00,4.999999999999984901e+00,-9.821830000000000283e-01
8.101951356692710382e-01,3.731491474612926709e+02,2.194975233032323558e+00,1.000000000000000000e+00,2.059503470947976200e-01,4.003623457123721252e+00,1.644653141803148699e+00,-9.724077999999998223e-01
8.617354903981460090e-01,3.922843625155987866e+02,1.000000000000000000e+01,5.000000301533836788e-01,2.870786685362311519e-01,5.363277091323064738e+00,3.656926809192767802e+00,-9.828314000000000217e-01
5.000000337700561959e-01,4.713986340017248153e+02,1.000000014122134129e+00,5.000000020823794911e-01,5.000000000000000000e-01,6.123728972766008916e+00,6.382155389447834448e-01,-9.941864000000000257e-01
5.000000000000000000e-01,2.340213608461971546e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,3.000000002681869837e+00,1.321079006123810351e-01,-9.921636000000001454e-01
7.195469446529159097e-01,1.565064958329737976e+02,3.009833037492166241e+00,7.693459066694191550e-01,7.097710588503369777e-02,3.666845501228602977e+00,9.310669375887334898e-01,-1.014716799999999974e+00
5.000000000000000000e-01,3.890615196324652061e+02,6.641840821962404995e+00,5.000000000000000000e-01,3.299131693325810799e-01,3.000000017312588252e+00,1.499294348316646763e+00,-9.837047999999999348e-01
