# colsample_bytree, num_rounds, min_child_weight, subsample, eta, max_depth, gamma, target
9.629444996239988619e-01,4.355905193895911793e+02,5.353423770563504824e+00,8.574635430835870764e-01,4.770025707342971932e-01,9.448887882881603417e+00,2.134677244727110512e+00,-9.860214000000000478e-01
5.000001567341749720e-01,5.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,5.000000000000000000e+00,-9.856384000000000256e-01
9.640330333952802366e-01,2.431561764539633828e+02,6.149070089364488290e+00,9.551066058384573010e-01,3.199921515595749444e-01,9.166711597455613258e+00,3.939713180702645978e+00,-9.745712000000000819e-01
5.260480761182140252e-01,3.477994284440149499e+02,8.840485672003268292e+00,5.137748976808451662e-01,2.745633240806503172e-01,3.568648667906738847e+00,4.832002899067184387e+00,-9.977204000000000628e-01
5.983265914698165933e-01,3.003217849079501889e+02,9.277597327087502066e+00,9.749211989562501790e-01,2.291827413454683160e-01,8.584470267571424174e+00,1.985607757952327690e+00,-9.803950000000000164e-01
1.000000000000000000e+00,3.231536964607219033e+02,8.470697369484398109e+00,1.000000000000000000e+00,1.771936698713828529e-01,5.395899678249633347e+00,5.000000000000000000e+00,-9.928024000000000848e-01
5.000000000000000000e-01,3.814981782464063258e+02,9.999999999952899898e+00,9.577351216866190065e-01,0.000000000000000000e+00,9.177183772388103122e+00,0.000000000000000000e+00,-1.017196999999999907e+00
5.000000000000000000e-01,4.697554035598103042e+02,9.351011764467786591e+00,8.857436250868253591e-01,4.367056788077378071e-01,3.834511454355456817e+00,5.000000000000000000e+00,-9.924965999999999511e-01
5.987358971476566261e-01,2.237077698973940585e+02,1.000000000000000000e+01,5.000000003065844245e-01,3.987372575260579866e-01,9.999999993218413152e+00,4.939458922756657941e-09,-1.018833199999999994e+00
5.000000000000000000e-01,1.061146238070440830e+02,1.080687442168108747e+00,5.000000000000000000e-01,5.345482015662316829e-08,1.000000000000000000e+01,4.995149111561491218e+00,-1.015645400000000143e+00
5.000000000000000000e-01,2.615346445953982197e+02,1.529315856802849538e+00,5.517379213024267148e-01,5.000000000000000000e-01,9.999999977625872560e+00,3.903349199208222320e+00,-9.825415999999999039e-01
1.000000000000000000e+00,2.504085229729330706e+02,9.412505049999838391e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.999999995075716797e+00,-1.007878399999999841e+00
5.000000000000000000e-01,1.817445946731371862e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,7.290143295606482887e+00,4.628762268723892070e+00,-9.863533999999999358e-01
9.623619550130296796e-01,2.289673366894085973e+02,1.000000000343688633e+00,9.262977823658959942e-01,1.707448427086544485e-01,7.513130475689598242e+00,4.800900113889704279e+00,-9.771170000000000133e-01
5.000000000000000000e-01,5.000000000000000000e+02,9.578347670831311333e+00,7.939970007061109003e-01,2.218300472713554818e-08,3.019230851573583063e+00,8.323598896424724700e-08,-9.806816000000001532e-01
1.000000000000000000e+00,1.429462270967510733e+02,1.000000000000000000e+01,5.000000134976809729e-01,5.000000000000000000e-01,9.407118350939267515e+00,3.959569330493995398e+00,-1.001591800000000143e+00
1.000000000000000000e+00,4.361108014912148292e+02,1.000000000000000000e+00,9.014016496339604112e-01,5.000000000000000000e-01,3.000000000000000000e+00,1.060530753396580692e-02,-9.767782000000000409e-01
5.404603143441051305e-01,3.811301709920996359e+02,3.565084992726275104e+00,5.000000012386411896e-01,2.796994606259041493e-10,8.575696019552827565e+00,4.999999996772168664e+00,-9.799215999999999482e-01
5.000000000000000000e-01,1.380424548240740137e+02,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.000000000000000000e+00,4.999999999495011949e+00,-1.031081599999999820e+00
9.999999941120477631e-01,1.771981392577589247e+02,9.057213593079399772e+00,9.202189455762859183e-01,1.127725111149643217e-02,9.890201511171904158e+00,1.916565471939805532e+00,-9.866004000000000440e-01
7.136262484073297996e-01,4.486525807851038508e+02,2.420304520056039355e+00,1.000000000000000000e+00,5.875978068227633121e-08,9.069643429436974102e+00,3.234672693520629583e+00,-9.759208000000001437e-01
8.499016394490261916e-01,2.860798389907670867e+02,1.306245721031817908e+00,6.778009942477724037e-01,3.447300722415710950e-01,8.324209209531357345e+00,2.717361101217301567e+00,-9.855173999999999879e-01
6.989438009930865059e-01,2.862832187200117460e+02,8.391756283779733039e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.916313552135713749e+00,5.000000000000000000e+00,-9.874100000000000099e-01
9.279680456297048075e-01,4.467364255612577040e+02,3.189362121482476997e+00,9.168702183891465074e-01,2.582280197785764564e-01,4.459694224316206324e+00,2.329267186841188220e-01,-9.755613999999999120e-01
9.999999937730572608e-01,3.960749505518595583e+02,1.000000000000000000e+00,5.000000000609150508e-01,0.000000000000000000e+00,7.907967131588383936e+00,4.999999985771284905e+00,-9.786958000000000046e-01
1.000000000000000000e+00,1.652743492352841770e+02,9.999999998553938951e+00,9.999999998898121412e-01,1.463354274646666564e-01,9.999999996587895623e+00,4.999999998598428697e+00,-9.897681999999999869e-01
1.000000000000000000e+00,3.332280084253316090e+02,1.000000053536658440e+00,1.000000000000000000e+00,5.000000000000000000e-01,3.162320744350687107e+00,1.368413848266234676e-07,-9.811283999999999006e-01
1.000000000000000000e+00,2.031321913586840822e+02,6.883724730153719662e+00,9.999999436722422086e-01,5.000000000000000000e-01,9.841809429822992783e+00,4.926537336700963721e+00,-9.865450000000001163e-01
9.999999969610807726e-01,3.253944676570204138e+02,7.480565786235800374e+00,5.000000000000000000e-01,4.990444395387214072e-01,3.000000072475093038e+00,2.536272671931328171e-08,-9.864208000000000975e-01
8.025526899449226814e-01,4.999687901842460747e+02,3.912963483035720280e+00,5.239395806308668746e-01,3.393918896495382032e-01,8.076074351462995793e+00,5.159878091444910721e-08,-1.017124399999999929e+00
9.999999999703990117e-01,2.331096452195348547e+02,2.442655351849522649e+00,1.000000000000000000e+00,4.494715517267657834e-01,8.979711990166084234e+00,4.999999999808434126e+00,-9.857265999999998973e-01
1.000000000000000000e+00,1.994886761556060719e+02,1.000000009028559900e+00,1.000000000000000000e+00,4.999999805332937530e-01,4.814415800818836466e+00,2.248383518104789952e-02,-9.838796000000000763e-01
9.999998712005568891e-01,1.665087663304250327e+02,1.000000297690472939e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,2.877365173667909146e-07,-1.075450800000000040e+00
8.239442653324668964e-01,1.053697888973381396e+02,8.357176330894489524e+00,9.961893868256654905e-01,3.057808423502788031e-01,3.469956550779984106e+00,3.599254210745453708e+00,-1.067056400000000016e+00
1.000000000000000000e+00,2.133366042800691389e+02,1.000000022968466462e+00,1.000000000000000000e+00,1.284487808296443802e-09,9.121586245913729130e+00,2.664468933434151147e-09,-1.049548199999999820e+00
8.904507565697802329e-01,4.460938139101121465e+02,8.685062970235835067e+00,7.435506758600478605e-01,2.466529833364595192e-01,7.624485261652147017e+00,4.215495939691087379e+00,-9.742969999999999686e-01
1.000000000000000000e+00,2.275544135076814314e+02,1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e-01,3.322380606777089795e+00,5.000000000000000000e+00,-1.008953400000000000e+00
5.353845728253140424e-01,4.096795564476812501e+02,9.946122401627079057e+00,9.869137998884890406e-01,1.246064877488300554e-01,8.471659449653772711e+00,4.957637122711766153e+00,-9.780117999999999867e-01
1.000000000000000000e+00,4.823428918160394687e+02,1.000000062919505384e+00,1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,5.000000000000000000e+00,-1.004280000000000062e+00
